project,test_name,sha,diff_frac,n_tokens_pre,n_tokens_post,in_flakebench,reason,n_changed_files,path,test
,,9361b6dae25b193782604d071754eb7fc566390a,,,,,file_missing_on_one_side,,examples/src/test/java/com/pholser/junit/quickcheck/examples/nullable/NullableParameterTest.java,
,,87d63f677759336987fbb21fd9c688235618e7bb,,,,,no_test_file_changed,13.0,,
,,31ab93618311cde8b95ca400811861002d7eaefb,,,,,no_test_file_changed,1.0,,
FasterXML_jackson-databind,TestGenerateJsonSchema.testUnwrapping,7ec49b14e982e82bb7eee49ddc85938e9e036578,0.7266187050359713,53.0,139.0,True,diff_exceeds_40pct_of_tokens,,,
,,737f7a7ea67832d7f17517326fb2491d0a086dd7,,,,,no_test_file_changed,2.0,,
,,af0003847db9ba822f67d4f1dceb8de3fe63250a,,,,,no_test_file_changed,1.0,,
stanfordnlp_CoreNLP,DirectedMultiGraphTest.testConnectedComponents,a53d57c1518d78eb8364553b8d75c53021e46f8d,0.5555555555555556,99.0,189.0,True,diff_exceeds_40pct_of_tokens,,,
,,caef58bfe55a8cd1fc5d7368c19e9ff818a7b7fa,,,,,file_missing_on_one_side,,typescript-generator-core/src/test/java/cz/habarta/typescript/generator/compiler/ModelCompilerUtilsTest.java,
vert-x3_vertx-mongo-client,MongoClientTest.testWatch,ca95202ca9880344cdf0c05aa0107c3242b71657,0.44982698961937717,578.0,567.0,True,diff_exceeds_40pct_of_tokens,,,
,,97745dd754eb9aee59aa806d90be53aac051a3e5,,,,,no_test_file_changed,11.0,,
,,922590e084284fc95566f8dcb277e94733cff2ec,,,,,no_test_file_changed,8.0,,
,,20de6f7f12319f54eb962ff6e8357b3f5695d54d,,,,,no_test_file_changed,2.0,,
opensource4you_astraea,MetricsTest.testBytes,4837d44583ddf5cbdf13e24aac038bb58f4ba137,0.589622641509434,212.0,203.0,True,diff_exceeds_40pct_of_tokens,,,
,,9e53b4590370112fbac55a13533d17f788c59ca3,,,,,file_missing_on_one_side,,storio-test-common/src/main/java/com/pushtorefresh/storio2/test/ConcurrencyTesting.java,
,,9e53b4590370112fbac55a13533d17f788c59ca3,,,,,file_missing_on_one_side,,storio-test-common/src/main/java/com/pushtorefresh/storio2/test/Repeat.java,
,,9e53b4590370112fbac55a13533d17f788c59ca3,,,,,file_missing_on_one_side,,storio-test-common/src/main/java/com/pushtorefresh/storio2/test/RepeatRule.java,
,,9e53b4590370112fbac55a13533d17f788c59ca3,,,,,file_missing_on_one_side,,storio-test-common/src/test/java/com/pushtorefresh/storio2/test/ConcurrencyTestingTest.java,
,,9e53b4590370112fbac55a13533d17f788c59ca3,,,,,file_missing_on_one_side,,storio-test-common/src/test/java/com/pushtorefresh/storio2/test/RepeatRuleTest.java,
,,b022898ef1b8c984e17efb2a422ee45f6b13e46e,,,,,no_test_file_changed,1.0,,
,,7b0c4c708b6bb9a6da3d5737bcad1857ade8a931,,,,,no_test_file_changed,1.0,,
,,13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,,,,,no_test_file_changed,1.0,,
,,d0efffad5d2034bb07525cac9b299dac72c3045d,,,,,no_test_file_changed,1.0,,
,,e0df1de64ab5e39bae530aa8cd1bda7017e7951e,,,,,method_missing_on_one_side,,integration-test-2_1/src/test/java/info/archinnov/achilles/it/TestEntityWithStaticAnnotations.java,TestEntityWithStaticAnnotations.should_insert_using_static_strategy_an_consistency_level
,,ac0b518f190c30228e401ef66d53329bbd27bad6,,,,,no_test_file_changed,2.0,,
,,7c32e527651a8a235d1b78b2f5d3f53d5e9bb6cb,,,,,no_test_file_changed,1.0,,
,,31a22561423919b3875e0563a7bdcde3b9e457a9,,,,,no_test_file_changed,2.0,,
ConsenSys_teku,SyncCommitteeGossipAcceptanceTest.shouldContainSyncCommitteeAggregates,b0dfa69af992bf1dbcd13880f033f4bd0a8b78cd,0.4036144578313253,166.0,126.0,True,diff_exceeds_40pct_of_tokens,,,
,,314bda2bd2be0092dfad2b3c51b1e79392fd8dab,,,,,file_missing_on_one_side,,plugins/com.google.cloud.tools.eclipse.appengine.validation.test/src/com/google/cloud/tools/eclipse/appengine/validation/SaxErrorHandlerTest.java,
GoogleCloudPlatform_google-cloud-eclipse,XmlValidatorTest.testValidate_appEngineStandard,314bda2bd2be0092dfad2b3c51b1e79392fd8dab,0.7125,80.0,28.0,False,diff_exceeds_40pct_of_tokens,,,
GoogleCloudPlatform_google-cloud-eclipse,XmlValidatorTest.testValidate_badXml,314bda2bd2be0092dfad2b3c51b1e79392fd8dab,0.46113989637305697,193.0,178.0,True,diff_exceeds_40pct_of_tokens,,,
GoogleCloudPlatform_google-cloud-eclipse,XmlValidatorTest.testValidate_dynamicWebProject,314bda2bd2be0092dfad2b3c51b1e79392fd8dab,0.6779661016949152,59.0,28.0,False,diff_exceeds_40pct_of_tokens,,,
,,b483e1a8f261b80a66291a42fc455256b0b5059c,,,,,file_missing_on_one_side,,cukes-http/src/test/java/lv/ctco/cukes/http/logging/HttpLoggingPluginTest.java,
,,277b9d6d56ba5a21240710b27c6e431498392a08,,,,,file_missing_on_one_side,,v7/recyclerview/tests/src/android/support/v7/util/PollingCheck.java,
,,1764748eedb2f320a0d1c43cb4f928c4ccb1f2f5,,,,,no_test_file_changed,1.0,,
